,Match,Team,Alliance,measurement,value,dloc,DefType
0,77,5667,red,AutoD1Cross,0,1.0,E_LowBar
1,77,451,red,AutoD1Cross,0,1.0,E_LowBar
2,77,3484,red,AutoD1Cross,1,1.0,E_LowBar
3,77,4256,blue,AutoD1Cross,0,1.0,E_LowBar
4,77,1939,blue,AutoD1Cross,1,1.0,E_LowBar
5,77,2040,blue,AutoD1Cross,0,1.0,E_LowBar
6,78,3324,red,AutoD1Cross,0,1.0,E_LowBar
7,78,48,red,AutoD1Cross,1,1.0,E_LowBar
8,78,279,red,AutoD1Cross,0,1.0,E_LowBar
9,78,4521,blue,AutoD1Cross,0,1.0,E_LowBar
10,78,3201,blue,AutoD1Cross,0,1.0,E_LowBar
11,78,2016,blue,AutoD1Cross,0,1.0,E_LowBar
12,79,4920,red,AutoD1Cross,0,1.0,E_LowBar
13,79,5811,red,AutoD1Cross,1,1.0,E_LowBar
14,79,3814,red,AutoD1Cross,1,1.0,E_LowBar
15,79,5809,blue,AutoD1Cross,0,1.0,E_LowBar
16,79,1038,blue,AutoD1Cross,0,1.0,E_LowBar
17,79,4284,blue,AutoD1Cross,0,1.0,E_LowBar
18,80,2051,red,AutoD1Cross,0,1.0,E_LowBar
19,80,2051,red,AutoD1Cross,1,1.0,E_LowBar
20,80,3138,red,AutoD1Cross,0,1.0,E_LowBar
21,80,3138,red,AutoD1Cross,0,1.0,E_LowBar
22,80,1014,red,AutoD1Cross,0,1.0,E_LowBar
23,80,1014,red,AutoD1Cross,0,1.0,E_LowBar
24,80,4085,blue,AutoD1Cross,0,1.0,E_LowBar
25,80,4085,blue,AutoD1Cross,0,1.0,E_LowBar
26,80,120,blue,AutoD1Cross,0,1.0,E_LowBar
27,80,120,blue,AutoD1Cross,1,1.0,E_LowBar
28,80,3266,blue,AutoD1Cross,0,1.0,E_LowBar
29,80,3266,blue,AutoD1Cross,0,1.0,E_LowBar
30,81,6181,red,AutoD1Cross,0,1.0,E_LowBar
31,81,6181,red,AutoD1Cross,1,1.0,E_LowBar
