120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,10,10,0,1,,1
3324,4,4,1,1,3,3,4,4,9,9,10,26,12,12,26,1,1,2,2,1,1,1,1,1,1,1,0,0,2,2,14,41,0,1,,2
868,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,2,0,0,1,4,5,0,1,4,7,0,1,,3
451,0,0,0,0,1,1,7,9,0,0,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,,4
5492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,4,4,5,7,0,1,,5
5811,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,1,1,1,1,4,4,2,2,0,0,0,2,2,29,29,0,1,,6
5811,1,1,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,48
868,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,273
5492,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,,371
5811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,372
4145,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,1,1,0,0,14,14,0,2,,7
3010,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,0,0,0,2,0,2,,8
3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,9
4085,1,1,3,3,2,2,2,2,0,0,1,3,0,0,30,0,0,0,0,1,2,0,0,0,0,1,3,17,0,0,2,33,0,2,,10
5413,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,1,4,4,0,0,3,6,0,2,,11
3260,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,5,1,1,0,0,0,2,,12
1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,13
5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,1,2,2,0,3,,14
1308,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,1,0,0,15,16,0,3,,15
3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,16
4115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,6,7,0,3,,17
3201,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,5,0,0,0,0,3,3,0,1,1,0,0,8,8,0,3,,18
4115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,113
337,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,0,0,4,5,9,13,0,4,,19
2408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,20
6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,21
5484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,22
279,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,5,0,4,,23
554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,24
5749,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,25
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,5,,26
3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,27
5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,7,0,5,,28
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,29
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,30
4028,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,79
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2,2,5,5,1,0,0,1,1,12,13,0,7,,80
1708,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,3,6,6,0,7,,81
3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,82
2040,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,3,4,2,2,0,7,,83
4521,0,1,1,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,,84
4028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,133
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,134
